id,target
0,1
2,0
3,0
9,0
11,1
12,0
21,1
22,0
27,0
29,0
30,0
35,0
42,0
43,0
45,0
46,0
47,1
51,1
58,0
60,1
69,0
70,1
72,1
75,0
84,1
87,0
88,1
90,0
94,1
99,1
101,0
103,1
106,1
108,0
111,0
115,1
116,0
122,0
123,1
124,0
125,1
127,0
140,0
142,0
147,1
148,1
150,1
152,0
154,0
155,0
166,0
167,0
169,1
177,0
179,0
181,1
186,1
188,0
189,0
192,0
200,0
202,1
206,0
207,1
214,0
217,1
223,1
224,1
227,1
228,0
230,0
233,0
234,1
236,1
239,1
250,1
255,0
257,1
259,0
275,1
278,0
282,0
284,1
286,0
288,1
292,0
295,0
300,1
304,0
305,0
306,1
308,1
311,1
317,0
319,0
323,0
324,0
325,0
326,0
333,1
339,0
342,0
343,0
350,1
351,1
357,0
359,0
362,0
366,0
367,0
369,0
373,0
374,1
376,0
377,0
378,0
379,1
382,0
385,0
387,0
388,0
391,0
392,0
395,0
399,1
400,1
403,0
405,0
408,0
411,0
414,0
416,0
417,1
422,1
425,0
428,0
430,0
431,0
433,0
434,0
439,1
441,0
449,0
458,0
460,0
464,0
473,0
488,0
491,0
494,0
497,0
500,0
505,1
507,0
508,1
510,1
511,1
515,1
525,1
529,1
532,1
534,1
537,1
539,1
541,1
545,1
547,1
548,1
549,0
553,0
554,1
555,1
557,1
562,0
566,0
572,0
573,0
582,1
586,1
587,0
590,1
591,0
593,1
595,1
596,0
597,0
601,0
602,1
605,0
610,0
616,0
618,0
620,0
626,0
627,1
629,0
632,0
634,1
639,0
645,1
647,0
648,0
650,0
663,1
666,0
668,1
670,0
673,0
676,0
678,1
692,0
693,1
694,1
695,0
696,1
698,0
701,1
703,0
707,0
708,1
711,0
715,0
718,1
722,1
723,1
733,0
741,0
742,0
743,0
747,1
749,1
750,1
756,0
757,1
760,1
764,1
765,0
766,1
768,1
769,1
771,1
772,1
776,1
778,1
780,1
785,0
789,0
792,0
793,1
811,1
813,0
816,0
821,1
824,0
825,0
827,0
830,1
831,0
839,0
844,0
847,1
850,1
854,0
855,0
858,0
861,0
862,0
865,0
869,1
879,0
880,0
887,0
889,0
897,0
900,1
901,1
904,0
908,0
909,0
910,0
913,0
914,1
917,0
918,0
920,0
922,0
924,0
925,0
927,0
933,0
937,0
943,0
949,1
950,1
954,1
966,1
967,1
969,1
970,0
973,0
975,0
980,0
988,0
989,0
995,0
1000,1
1003,0
1007,0
1011,0
1012,0
1013,0
1014,1
1016,0
1019,0
1025,1
1027,0
1028,1
1030,1
1033,1
1034,0
1039,1
1046,0
1047,1
1053,1
1055,0
1056,1
1059,0
1060,0
1063,1
1064,1
1068,0
1076,1
1086,0
1087,0
1089,1
1092,0
1095,0
1096,1
1097,0
1100,0
1101,0
1107,0
1108,0
1111,0
1115,0
1116,1
1121,0
1125,0
1127,0
1131,0
1133,0
1135,0
1137,1
1140,0
1144,1
1147,0
1148,0
1150,1
1158,1
1159,1
1161,1
1163,1
1165,0
1169,1
1171,0
1172,1
1176,0
1180,1
1184,1
1186,0
1187,0
1192,0
1193,1
1194,0
1197,0
1200,0
1205,1
1210,0
1216,1
1220,1
1231,1
1233,0
1246,0
1247,1
1248,0
1255,0
1256,0
1257,0
1258,1
1260,1
1261,0
1265,0
1266,0
1268,1
1274,1
1281,1
1285,0
1286,1
1291,0
1292,1
1295,1
1299,0
1306,1
1310,0
1311,1
1313,1
1314,0
1322,0
1323,0
1325,0
1329,0
1330,0
1333,0
1336,1
1339,0
1342,0
1344,1
1355,0
1357,0
1358,0
1359,0
1364,0
1366,0
1367,1
1370,1
1373,1
1377,1
1386,0
1387,1
1392,0
1397,1
1398,0
1400,1
1403,1
1404,1
1410,1
1413,0
1416,1
1417,0
1423,1
1424,1
1426,1
1427,1
1428,0
1430,1
1434,0
1435,0
1437,1
1438,1
1442,1
1446,0
1451,1
1457,0
1461,0
1462,0
1465,0
1468,0
1469,0
1471,0
1476,0
1478,1
1481,1
1489,0
1490,0
1492,0
1496,1
1512,1
1516,0
1517,1
1528,1
1529,1
1536,0
1539,1
1541,0
1542,1
1548,1
1550,0
1551,1
1552,1
1557,1
1563,0
1564,1
1565,1
1566,0
1571,1
1578,0
1581,1
1583,1
1584,1
1586,1
1589,0
1592,1
1598,1
1606,1
1612,1
1616,1
1620,0
1624,1
1629,1
1630,0
1635,1
1640,1
1641,1
1642,1
1651,1
1655,1
1656,1
1659,1
1664,0
1667,1
1668,1
1674,0
1678,1
1680,1
1681,1
1682,1
1685,1
1695,1
1696,1
1697,0
1704,0
1708,0
1711,1
1713,1
1714,0
1717,1
1729,0
1730,1
1732,0
1734,0
1736,1
1738,0
1742,0
1743,0
1746,0
1748,1
1749,1
1751,1
1758,1
1764,0
1765,0
1777,0
1778,1
1781,0
1782,0
1783,1
1785,1
1788,0
1793,1
1794,0
1795,1
1797,0
1800,1
1801,1
1805,0
1806,0
1819,0
1820,0
1825,1
1828,1
1829,1
1830,1
1839,0
1843,1
1844,0
1846,0
1849,0
1850,1
1854,1
1855,1
1858,1
1859,1
1862,1
1867,0
1868,1
1871,0
1872,0
1874,1
1876,0
1879,0
1884,1
1891,0
1894,0
1896,0
1902,1
1903,0
1904,0
1906,1
1907,1
1912,0
1913,1
1923,1
1926,0
1928,0
1930,0
1931,1
1934,0
1936,1
1944,1
1946,1
1947,0
1958,0
1964,1
1970,0
1974,0
1977,1
1978,1
1982,1
1984,1
1988,0
1993,1
1997,1
1998,1
2002,0
2004,1
2005,1
2008,1
2011,1
2013,1
2018,0
2021,1
2025,0
2029,0
2030,1
2032,1
2037,1
2041,1
2044,0
2048,0
2052,1
2053,0
2054,1
2062,0
2065,1
2066,0
2072,1
2079,1
2080,0
2085,1
2088,1
2090,0
2092,1
2093,1
2101,1
2104,1
2105,1
2106,1
2107,1
2120,0
2124,1
2127,0
2130,0
2132,0
2135,0
2137,0
2140,0
2143,0
2147,0
2151,0
2152,0
2155,0
2156,0
2162,0
2165,1
2166,1
2167,1
2168,0
2170,1
2178,0
2180,1
2182,0
2184,0
2185,1
2187,0
2196,1
2197,0
2199,1
2200,1
2201,0
2202,1
2206,0
2208,1
2218,1
2223,1
2224,0
2226,0
2228,0
2232,0
2234,1
2243,1
2247,0
2249,0
2252,0
2253,1
2259,0
2261,0
2264,0
2268,0
2269,0
2270,1
2276,0
2283,1
2287,1
2290,0
2291,1
